date,rf_annual
2021-03-12,-0.00562000
2021-03-15,-0.00564000
2021-03-16,-0.00562000
2021-03-17,-0.00561000
2021-03-18,-0.00566000
2021-03-19,-0.00565000
2021-03-22,-0.00566000
2021-03-23,-0.00563000
2021-03-24,-0.00564000
2021-03-25,-0.00564000
2021-03-26,-0.00568000
2021-03-29,-0.00570000
2021-03-30,-0.00570000
2021-03-31,-0.00574000
2021-04-01,-0.00566000
2021-04-06,-0.00567000
2021-04-07,-0.00567000
2021-04-08,-0.00570000
2021-04-09,-0.00568000
2021-04-12,-0.00567000
2021-04-13,-0.00563000
2021-04-14,-0.00560000
2021-04-15,-0.00566000
2021-04-16,-0.00565000
2021-04-19,-0.00567000
2021-04-20,-0.00567000
2021-04-21,-0.00565000
2021-04-22,-0.00565000
2021-04-23,-0.00565000
2021-04-26,-0.00567000
2021-04-27,-0.00560000
2021-04-28,-0.00566000
2021-04-29,-0.00566000
2021-04-30,-0.00569000
2021-05-03,-0.00567000
2021-05-04,-0.00564000
2021-05-05,-0.00566000
2021-05-06,-0.00565000
2021-05-07,-0.00563000
2021-05-10,-0.00567000
2021-05-11,-0.00564000
2021-05-12,-0.00564000
2021-05-13,-0.00564000
2021-05-14,-0.00564000
2021-05-17,-0.00565000
2021-05-18,-0.00558000
2021-05-19,-0.00564000
2021-05-20,-0.00563000
2021-05-21,-0.00564000
2021-05-24,-0.00566000
2021-05-25,-0.00565000
2021-05-26,-0.00565000
2021-05-27,-0.00564000
2021-05-28,-0.00566000
2021-05-31,-0.00571000
2021-06-01,-0.00564000
2021-06-02,-0.00563000
2021-06-03,-0.00563000
2021-06-04,-0.00563000
2021-06-07,-0.00564000
2021-06-08,-0.00563000
2021-06-09,-0.00564000
2021-06-10,-0.00561000
2021-06-11,-0.00566000
2021-06-14,-0.00565000
2021-06-15,-0.00561000
2021-06-16,-0.00562000
2021-06-17,-0.00563000
2021-06-18,-0.00563000
2021-06-21,-0.00564000
2021-06-22,-0.00564000
2021-06-23,-0.00563000
2021-06-24,-0.00565000
2021-06-25,-0.00565000
2021-06-28,-0.00566000
2021-06-29,-0.00568000
2021-06-30,-0.00581000
2021-07-01,-0.00565000
2021-07-02,-0.00565000
