date,MSCI_World,Global_Bonds,Gold,Bitcoin,Ethereum,XRP,BNB,Solana
2019-04-21,,,,4729.932936547428,151.34141037167433,0.2869796163601298,21.532508003372165,
2019-04-22,71.45440588070596,39.13551892164723,107.047452936934,4801.763584179096,152.85157945166603,0.288080980564338,21.26196050318634,
2019-04-23,71.73833072376131,39.10645656259013,106.68818585969129,4949.260836217839,152.27650932013202,0.2853029672887994,20.31823762620284,
2019-04-24,71.70851226822013,39.31880613050438,107.32913572046766,4868.759140959607,147.73778814867006,0.2693411641806865,20.606150025027432,
2019-04-25,72.10880537447298,39.54731078087122,108.1006529446853,4671.644212214131,138.48520894475755,0.25945591968730136,19.942725215468755,
2019-04-26,72.54875765686826,39.66330224380252,108.98055953448554,4740.432575993876,140.38718914661604,0.2680309306114812,20.534918616104488,
2019-04-27,,,,4730.504158198878,142.26190690781016,0.2664497028879289,20.06095908637155,
2019-04-28,,,,4745.632445062044,141.23840190377794,0.26706475709426386,20.56177633991582,
2019-04-29,72.57998718556881,39.60138459148575,108.36517643577277,4706.035546629145,139.1913548668378,0.26393013451517755,19.465971569838384,
2019-04-30,72.5187332452929,39.51313609535565,108.35764079655873,4783.763378373496,144.98291226371288,0.2766839010185754,19.7831698837374,
2019-05-01,71.70667230400292,39.40513008227811,107.34623522338211,4816.936911681413,143.38242173545993,0.27166085874359464,19.573409671198963,
2019-05-02,71.68605101752915,39.4232176916281,107.08124087971122,4915.062506844706,144.74161167575764,0.2707287514499603,21.062640732222096,
2019-05-03,72.62571405435214,39.54787107434807,107.97812667601332,5162.44585114724,150.3123592175491,0.2758494263506874,21.255203609578558,
2019-05-04,,,,5218.7197091750495,146.7988619726256,0.27256488035232035,20.481237452738224,
2019-05-05,,,,5186.984983454178,146.28346492143814,0.27058700460820645,20.602166144016348,
2019-05-06,72.08160168196045,39.49036803115651,108.00292262794383,5137.5877679324285,154.35023620597195,0.270332720686971,19.85250789271534,
2019-05-07,70.7596257871039,39.47628583803618,108.20537311145614,5204.054003973697,151.5809547728533,0.26753088022611976,18.62566089058072,
2019-05-08,70.80418579710188,39.542653156572406,108.04154948376319,5345.744442595698,152.7541490790228,0.26871524858043666,18.543968275238807,
2019-05-09,70.44360779714968,39.51698830819293,108.23038707374607,5513.792572432816,152.06665046456493,0.26477957423814724,16.81353371564758,
2019-05-10,70.60063415633721,39.41923440425071,108.20627619102959,5684.192605149458,154.2875050975874,0.26767485853431466,17.463874769791943,
2019-05-11,,,,6420.172042923943,173.14459896872316,0.28920027444911267,18.75715853175461,
2019-05-12,,,,6213.080484358706,166.92559482298637,0.2763069502357558,18.561878576344625,
2019-05-13,68.9268620065764,39.41112089274723,109.17139017843105,6954.96169948395,175.18531574845537,0.2896597337994569,21.19086178760355,
2019-05-14,69.56250286546818,39.45308358337196,109.02246017636001,7117.188536768838,193.32085602359618,0.36417561435637763,21.03389148408328,
2019-05-15,70.16126075526537,39.60140700059506,109.23306934428457,7323.112069463553,220.58409654387737,0.40698444973034903,24.003732311550984,
2019-05-16,70.7019709364155,39.61286279221701,108.42094438247914,7035.546741850451,235.57085081049274,0.37449616107018185,23.489989807812055,
2019-05-17,70.55249763124341,39.753566951073935,107.97812667601332,6572.565846738861,218.16198230225964,0.3456311390697233,22.985129831119206,
2019-05-18,,,,6507.512717990419,209.9556829940614,0.333587528129818,25.41427693685126,
2019-05-19,,,,7336.685777250356,233.84867419512153,0.3738289444611531,26.323611464813897,
2019-05-20,70.10754063060897,39.72611081625509,108.04880765881147,7145.613294166773,225.57733233697977,0.35646345409903085,26.24678541979829,
2019-05-21,70.65501090686148,39.714577409684175,107.7667360844789,7130.124820776202,228.51264863980973,0.3560018104632222,28.658446325401144,
2019-05-22,70.44998133713628,39.778427992352974,107.65928922294069,6876.501207349059,219.0960710002153,0.33722948854147133,28.134355114003572,
2019-05-23,69.71142218995952,39.87482403902842,108.6192120688629,7065.445150882692,220.48854855133615,0.3417189050661906,28.251336330943516,
2019-05-24,69.90825050526065,39.827878195143484,108.45311856833186,7141.428981380444,223.06202816669625,0.3438142633895407,30.257250311917588,
2019-05-25,,,,7199.698939043214,225.09598193873006,0.34604858027137525,31.3406263676038,
2019-05-26,,,,7754.635449825341,238.7842928684971,0.365157968964067,30.49280569788642,
2019-05-27,,,,7855.54702636941,243.4180404367819,0.3873169529485331,30.046198151291247,
